"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,584,468,716,"sympiso"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,53,39,70,"asympiso"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,809,620.95,1028,"tot.cases"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,7,4,11,"peak.hosp"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,0,0,0,"days.above.thresh"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,26,18,36,"tot.hosp"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,14,8,21,"death"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,516,416,635,"sympiso"
0.15,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,30,48,34,62,"asympiso"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,686,521,874,"tot.cases"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,6,4,10,"peak.hosp"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,0,0,0,"days.above.thresh"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,24,16,33,"tot.hosp"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,13,7,19,"death"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,457,368.95,561,"sympiso"
0.2,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,31,42,30,56,"asympiso"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,581,441,745,"tot.cases"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,6,4,9,"peak.hosp"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,0,0,0,"days.above.thresh"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,22,14,30,"tot.hosp"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,12,7,18,"death"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,406,329,495,"sympiso"
0.25,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,32,38,27,51,"asympiso"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,490,367,629,"tot.cases"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,5,3,8,"peak.hosp"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,0,0,0,"days.above.thresh"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,20,13,27,"tot.hosp"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,11,6,16,"death"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,359,291,437,"sympiso"
0.3,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,33,33,23,46,"asympiso"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,412,311,532,"tot.cases"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,5,3,8,"peak.hosp"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,0,0,0,"days.above.thresh"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,18,12,25,"tot.hosp"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,10,5,15,"death"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,319,262.95,384,"sympiso"
0.35,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,34,30,20,41,"asympiso"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,350,261,457,"tot.cases"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,5,3,7,"peak.hosp"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,0,0,0,"days.above.thresh"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,16,11,23,"tot.hosp"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,9,5,14,"death"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,284,234,338.05,"sympiso"
0.4,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,35,27,18,38,"asympiso"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,293,219,387,"tot.cases"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,4,3,7,"peak.hosp"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,0,0,0,"days.above.thresh"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,15,10,21,"tot.hosp"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,8,4,13,"death"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,253,210,302,"sympiso"
0.45,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,36,24,16,34,"asympiso"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,246,185,323,"tot.cases"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,4,3,7,"peak.hosp"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,0,0,0,"days.above.thresh"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,14,9,19,"tot.hosp"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,8,4,12,"death"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,226,190,267,"sympiso"
0.5,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,37,21,14,30,"asympiso"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,206,155,270,"tot.cases"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,4,2,6,"peak.hosp"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,0,0,0,"days.above.thresh"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,12,8,18,"tot.hosp"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,7,4,12,"death"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,204,173,239,"sympiso"
0.55,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,38,19,12,27,"asympiso"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,172,130,227,"tot.cases"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,4,2,6,"peak.hosp"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,0,0,0,"days.above.thresh"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,12,7,17,"tot.hosp"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,7,3,11,"death"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,183,157,215,"sympiso"
0.6,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,39,17,10,25,"asympiso"
